;ID;Trial;Time;Montage;Dose;Groups;Lag;Side;Entropy;Replica;Teste
242;DLSC;3;6.5;0;1;AC;10;R;0.0975316;1;
243;DLSC;4;14.0;0;0;AC;11;R;0.09979241;0;
244;DLSC;5;16.5;0;1;AC;8;R;0.1259115;1;
245;DLSC;6;24.0;0;0;AC;15;R;0.06583139;0;
246;DLSC;7;26.5;0;1;AC;13;R;0.09646489;1;
247;DLSC;8;34.0;0;0;AC;12;R;0.06979849;0;
248;DLSC;9;36.5;0;2;AC;14;R;0.120826;2;
249;DLSC;10;44.0;0;0;AC;13;R;0.08258797;0;
250;DLSC;11;46.5;0;2;AC;14;R;0.07502035;2;
251;DLSC;12;54.0;0;0;AC;15;R;0.08955196;0;
252;DLSC;13;56.5;0;2;AC;15;R;0.09560692;2;
253;DLSC;14;64.0;0;0;AC;12;R;0.07585981;0;
254;DLSC;15;66.5;0;3;AC;13;R;0.0715967;3;
255;DLSC;16;74.0;0;0;AC;13;R;0.0563158;0;
256;DLSC;17;76.5;0;3;AC;13;R;0.1103893;3;
257;DLSC;18;84.0;0;0;AC;15;R;0.07271762;0;
258;DLSC;19;86.5;0;3;AC;12;R;0.09840999;3;
259;DLSC;20;94.0;0;0;AC;10;R;0.1051167;0;
260;DLSC;1;2.0;1;0;baseline;11;R;0.0935673;0;
261;DLSC;2;4.0;1;0;CC;20;R;0.06263209;0;
262;DLSC;3;6.5;1;2;CC;11;R;0.09674105;1;
263;DLSC;4;14.0;1;0;CC;15;R;0.05130519;0;
264;DLSC;5;16.5;1;2;CC;13;R;0.09199165;1;
265;DLSC;6;24.0;1;0;CC;13;R;0.04891072;0;
266;DLSC;7;26.5;1;2;CC;14;R;0.07374904;1;
267;DLSC;8;34.0;1;0;CC;15;R;0.03521783;0;
268;DLSC;9;36.5;1;3;CC;12;R;0.1078957;2;
269;DLSC;10;44.0;1;0;CC;14;R;0.04702846;0;
270;DLSC;11;46.5;1;3;CC;12;R;0.08428278;2;
271;DLSC;12;54.0;1;0;CC;13;R;0.04914872;0;
272;DLSC;13;56.5;1;3;CC;14;R;0.1153676;2;
273;DLSC;14;64.0;1;0;CC;16;R;0.05149067;0;
274;DLSC;15;66.5;1;1;CC;13;R;0.06546972;3;
275;DLSC;16;74.0;1;0;CC;16;R;0.0484058;0;
276;DLSC;17;76.5;1;1;CC;11;R;0.1009637;3;
277;DLSC;18;84.0;1;0;CC;15;R;0.04685078;0;
278;DLSC;19;86.5;1;1;CC;12;R;0.05339359;3;
279;DLSC;20;94.0;1;0;CC;16;R;0.03916843;0;
280;DLSC;1;2.0;2;0;baseline;12;R;0.08137903;0;
281;DLSC;2;4.0;2;0;SHAM-CC;12;R;0.06856939;0;
282;DLSC;3;6.5;2;3;SHAM-CC;12;R;0.0788253;1;CC
283;DLSC;4;14.0;2;0;SHAM-CC;20;R;0.06972024;0;
284;DLSC;5;16.5;2;3;SHAM-CC;11;R;0.09034668;1;CC
285;DLSC;6;24.0;2;0;SHAM-CC;15;R;0.05321165;0;
286;DLSC;7;26.5;2;3;SHAM-CC;11;R;0.08688864;1;CC
287;DLSC;8;34.0;2;0;SHAM-CC;12;R;0.0458931;0;
288;DLSC;9;36.5;2;1;SHAM-CC;8;R;0.1206475;2;CC
289;DLSC;10;44.0;2;0;SHAM-CC;10;R;0.0913166;0;
290;DLSC;11;46.5;2;1;SHAM-CC;9;R;0.09062691;2;CC
291;DLSC;12;54.0;2;0;SHAM-CC;12;R;0.07696886;0;
292;DLSC;13;56.5;2;1;SHAM-CC;12;R;0.1340832;2;CC
293;DLSC;14;64.0;2;0;SHAM-CC;13;R;0.06485515;0;
294;DLSC;15;66.5;2;2;SHAM-CC;11;R;0.07652031;3;CC
295;DLSC;16;74.0;2;0;SHAM-CC;14;R;0.07647996;0;
296;DLSC;17;76.5;2;2;SHAM-CC;12;R;0.08749509;3;CC
297;DLSC;18;84.0;2;0;SHAM-CC;14;R;0.05376594;0;
298;DLSC;19;86.5;2;2;SHAM-CC;11;R;0.06836332;3;CC
299;DLSC;20;94.0;2;0;SHAM-CC;13;R;0.04687089;0;
300;GSM;1;2.0;0;0;baseline;9;R;0.06406503;0;
301;GSM;2;4.0;0;0;AC;10;R;0.02457793;0;
302;GSM;3;6.5;0;3;AC;9;R;0.04519789;1;
303;GSM;4;14.0;0;0;AC;8;R;0.07864265;0;
304;GSM;5;16.5;0;3;AC;7;R;0.05903053;1;
305;GSM;6;24.0;0;0;AC;17;R;0.01857189;0;
306;GSM;7;26.5;0;3;AC;18;R;0.03765008;1;
307;GSM;8;34.0;0;0;AC;13;R;0.03500219;0;
308;GSM;9;36.5;0;1;AC;14;R;0.02929341;2;
309;GSM;10;44.0;0;0;AC;20;R;0.02084687;0;
310;GSM;11;46.5;0;1;AC;6;R;0.04698332;2;
311;GSM;12;54.0;0;0;AC;20;R;0.03227531;0;
312;GSM;13;56.5;0;1;AC;8;R;0.04557205;2;
313;GSM;14;64.0;0;0;AC;8;R;0.06937577;0;
314;GSM;15;66.5;0;2;AC;7;R;0.06120355;3;
